代碼",公私立,體制,學校名稱,學院名稱,系所代碼,系所名稱,電話,電話分機,傳真,電子郵件,系所網址
0001,公立,一般大學,國立政治大學,外國語文學院,02311099,東南亞語文學系,02-2939-3091,62745,02-2939-0459,sealc@nccu.edu.tw,https://sealc.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,文學院,02321007,台灣文學研究所,02-2939-3091,67267,02-2938-7534,tailit@nccu.edu.tw,https://tailit.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,文學院,02321007,台灣文學研究所,02-2939-3091,67267,02-2938-7534,tailit@nccu.edu.tw,https://tailit.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,文學院,02322008,中國文學系,02-2938-7041,無,02-2939-3834,nccuchi@nccu.edu.tw,https://chinese.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,文學院,02322008,中國文學系,02-2938-7041,無,02-2939-3834,nccuchi@nccu.edu.tw,https://chinese.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,文學院,02322008,中國文學系,02-2938-7041,無,02-2939-3834,nccuchi@nccu.edu.tw,https://chinese.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,文學院,02322008,中國文學系,02-2938-7041,無,02-2939-3834,nccuchi@nccu.edu.tw,https://chinese.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,文學院,02323002,華語文教學博士學位學程,02-2939-3091,62556,02-2938-7457,tcasl@nccu.edu.tw,https://tcsl.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,文學院,02323002,華語文教學碩士學位學程,02-2939-3091,62556,02-2938-7457,tcasl@nccu.edu.tw,https://tcsl.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,外國語文學院,02399018,語言學研究所,02-2938-7246,無,02-2938-7466,nccu555@nccu.edu.tw,https://ling.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,外國語文學院,02399018,語言學研究所,02-2938-7246,無,02-2938-7466,nccu555@nccu.edu.tw,https://ling.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,社會科學學院,03111024,經濟學系,02-2939-3091,51056,02-2939-0344,econo@nccu.edu.tw,https://econo.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,社會科學學院,03111024,經濟學系,02-2939-3091,51056,02-2939-0344,econo@nccu.edu.tw,https://econo.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,社會科學學院,03111024,經濟學系,02-2939-3091,51056,02-2939-0344,econo@nccu.edu.tw,https://econo.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,社會科學學院,03111025,應用經濟與社會發展英語碩士學位學程,02-2939-3091,51280,02-2938-7449,imes@nccu.edu.tw,https://imes.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,社會科學學院,03121026,政治學系,02-2939-3091,50771,02-2939-0201,politics@nccu.edu.tw,https://politics.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,社會科學學院,03121026,政治學系,02-2939-3091,50771,02-2939-0201,politics@nccu.edu.tw,https://politics.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,社會科學學院,03121026,政治學系,02-2939-3091,50771,02-2939-0201,politics@nccu.edu.tw,https://politics.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,國際事務學院,03121029,國際事務學院國家安全與大陸研究碩士在職專班,02-2939-3091,51113,02-2938-7886,51113@nccu.edu.tw,https://ocia51113.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,國際事務學院,03122045,外交學系,02-2939-3091,50918,02-2939-0173,dip50918@nccu.edu.tw,https://diplomacy.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,國際事務學院,03122045,外交學系,02-2939-3091,50918,02-2939-0173,dip50918@nccu.edu.tw,https://diplomacy.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,國際事務學院,03122045,外交學系,02-2939-3091,50918,02-2939-0173,dip50918@nccu.edu.tw,https://diplomacy.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,國際事務學院,03122045,外交學系,02-2939-3091,50918,02-2939-0173,dip50918@nccu.edu.tw,https://diplomacy.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,國際事務學院,03122046,國際研究英語碩士學位學程,02-2939-3091,51112,02-2938-7886,impis@nccu.edu.tw,https://impis.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,理學院,03131032,心理學系,02-2939-3091,62981,02-2939-0644,nccupsy@nccu.edu.tw,https://psy.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,理學院,03131032,心理學系,02-2939-3091,62981,02-2939-0644,nccupsy@nccu.edu.tw,https://psy.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,理學院,03131032,心理學系,02-2939-3091,62981,02-2939-0644,nccupsy@nccu.edu.tw,https://psy.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,教育學院,03131033,輔導與諮商碩士學位學程,02-2939-3091,65451,02-2938-7745,mpcg@nccu.edu.tw,https://mpcg.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,社會科學學院,03141030,社會學系,02-2939-3091,50857,02-2938-7168,sociol@nccu.edu.tw,https://sociology.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,社會科學學院,03141030,社會學系,02-2939-3091,50857,02-2938-7168,sociol@nccu.edu.tw,https://sociology.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,社會科學學院,03141030,社會學系,02-2939-3091,50857,02-2938-7168,sociol@nccu.edu.tw,https://sociology.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,外國語文學院,03143023,中東與中亞研究碩士學位學程,02-2939-3091,62746,02-2939-0434,62746@nccu.edu.tw,https://mecas.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,國際事務學院,03143028,東亞研究所,02-2939-3091,50801,02-2939-1445,eastasia@nccu.edu.tw,https://eastasia.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,國際事務學院,03143028,東亞研究所,02-2939-3091,50801,02-2939-1445,eastasia@nccu.edu.tw,https://eastasia.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,國際事務學院,03143036,日本研究博士學位學程,02-2939-3091,51111,02-2938-7720,mpjs@nccu.edu.tw,https://mpjs.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,國際事務學院,03143036,日本研究碩士學位學程,02-2939-3091,51111,02-2938-7720,mpjs@nccu.edu.tw,https://mpjs.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,國際事務學院,03143038,俄羅斯研究所,02-2939-3091,50806,02-2938-7124,russia@nccu.edu.tw,https://rustudy.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,社會科學學院,03143040,亞太研究英語博士學位學程,02-2939-3091,51281,02-2938-7449,idas@nccu.edu.tw,https://idas.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,社會科學學院,03143040,亞太研究英語碩士學位學程,02-2939-3091,51255,02-2938-7449,imas@nccu.edu.tw,https://imas.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,社會科學學院,03143043,地政學系,02-2939-3091,50551,02-2939-0251,dole@nccu.edu.tw,https://landeconomics.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,社會科學學院,03143043,地政學系,02-2939-3091,50551,02-2939-0251,dole@nccu.edu.tw,https://landeconomics.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,社會科學學院,03143043,地政學系,02-2939-3091,50551,02-2939-0251,dole@nccu.edu.tw,https://landeconomics.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,社會科學學院,03143043,地政學系,02-2939-3091,50551,02-2939-0251,dole@nccu.edu.tw,https://landeconomics.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,社會科學學院,03143090,土地政策與環境規劃碩士原住民專班,02-2939-3091,50525,02-2938-7587,iland.nccu@gmail.com,http://iland.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,社會科學學院,03191047,國家發展研究所,02-2938-7068,無,02-2939-7202,gids@nccu.edu.tw,https://gids.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,社會科學學院,03191047,國家發展研究所,02-2938-7068,無,02-2939-7202,gids@nccu.edu.tw,https://gids.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,社會科學學院,03199048,勞工研究所,02-2938-7108,51236,02-2939-3334,labor@nccu.edu.tw,https://labor.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,傳播學院,03211049,傳播學院傳播碩士學位學程,02-2938-7123,無,02-2937-8629,alladin@nccu.edu.tw,https://gradcomm.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,傳播學院,03211049,傳播學院傳播學士學位學程,02-2938-7123,無,02-2937-8629,comm@nccu.edu.tw,https://gradcomm.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,傳播學院,03211050,國際傳播英語碩士學位學程,02-2938-7550,無,02-2938-7547,imics@nccu.edu.tw,https://www.imics.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,傳播學院,03211056,傳播學院大一大二不分系,02-2939-3091,67078,02-2939-3024,umicc@nccu.edu.tw,https://umicc.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,傳播學院,03211056,傳播學院博士班,02-2938-7077,無,02-2937-8629,mfchen2@nccu.edu.tw,https://ccphd.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,傳播學院,03211056,傳播學院碩士在職專班,02-8661-1460,無,無,ema.comm@nccu.edu.tw,https://ema.comm.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,傳播學院,03213052,廣播電視學系,02-2939-3091,63901,02-2939-3024,rtv@nccu.edu.tw,https://rtv.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,傳播學院,03214051,新聞學系,02-2938-7431,無,02-2939-3042,jour@nccu.edu.tw,https://jschool.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,創新國際學院,03214093,全球傳播與創新科技碩士學位學程,02-2939-3091,69410,02-2938-7007,gcit@nccu.edu.tw,https://gcit.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,文學院,03222054,圖書資訊與檔案學研究所,02-2939-3091,62952,02-2938-4704,cswu@nccu.edu.tw,https://ncculias.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,文學院,03222054,圖書資訊與檔案學研究所,02-2939-3091,62952,02-2938-4704,cswu@nccu.edu.tw,https://ncculias.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,文學院,03222054,圖書資訊與檔案學研究所,02-2939-3091,62952,02-2938-4704,cswu@nccu.edu.tw,https://ncculias.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,商學院,04111059,會計學系,02-2938-7112,無,02-2938-7113,acctast@nccu.edu.tw,https://acct.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,商學院,04111059,會計學系,02-2938-7112,無,02-2938-7113,acctast@nccu.edu.tw,https://acct.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,商學院,04111059,會計學系,02-2938-7112,無,02-2938-7113,acctast@nccu.edu.tw,https://acct.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,商學院,04121065,財務管理學系,02-2939-3091,88591,02-2939-3394,finance@nccu.edu.tw,https://finance.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,商學院,04121065,財務管理學系,02-2939-3091,88591,02-2939-3394,finance@nccu.edu.tw,https://finance.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,商學院,04121065,財務管理學系,02-2939-3091,88591,02-2939-3394,finance@nccu.edu.tw,https://finance.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,商學院,04121068,金融學系,02-2939-3091,87142,02-2939-8004,banking@nccu.edu.tw,https://banking.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,商學院,04121068,金融學系,02-2939-3091,87142,02-2939-8004,banking@nccu.edu.tw,https://banking.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,商學院,04121068,金融學系,02-2939-3091,87142,02-2939-8004,banking@nccu.edu.tw,https://banking.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,社會科學學院,04122070,財政學系,02-2938-7063,無,02-2939-0074,pfdm@nccu.edu.tw,https://pf.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,社會科學學院,04122070,財政學系,02-2938-7063,無,02-2939-0074,pfdm@nccu.edu.tw,https://pf.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,社會科學學院,04122070,財政學系,02-2938-7063,無,02-2939-0074,pfdm@nccu.edu.tw,https://pf.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,商學院,04123069,風險管理與保險學系,02-2939-3091,89070,02-2939-3864,rmi@nccu.edu.tw,https://rmi.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,商學院,04123069,風險管理與保險學系,02-2939-3091,89070,02-2939-3864,rmi@nccu.edu.tw,https://rmi.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,商學院,04123069,風險管理與保險學系,02-2939-3091,89070,02-2939-3864,rmi@nccu.edu.tw,https://rmi.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,商學院,04131060,企業管理研究所(MBA學位學程),02-2341-9151,1820,無,mba@nccu.edu.tw,https://mba.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,商學院,04131060,企業管理學系,02-2939-3091,87072,02-2939-8005,ba@nccu.edu.tw,https://ba.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,商學院,04131060,企業管理學系,02-2939-3091,87072,02-2939-8005,ba@nccu.edu.tw,https://ba.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,商學院,04131062,經營管理碩士學程,02-2938-7560,無,02-2938-7883,km.emba@nccu.edu.tw,https://www.emba.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,商學院,04131062,經營管理碩士學程,02-2938-7560,無,02-2938-7883,km.emba@nccu.edu.tw,https://www.emba.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,商學院,04131064,國際經營管理英語碩士學位學程,02-2938-7912,無,02-2938-7882,imba@nccu.edu.tw,https://imba.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,創新國際學院,04131091,創新國際學院學士班,02-2939-3091,62782,02-2968-7234,ici@nccu.edu.tw,https://ici.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,社會科學學院,04134041,公共行政學系,02-2939-3091,51157,02-2939-1144,pa@nccu.edu.tw,https://pa.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,社會科學學院,04134041,公共行政學系,02-2939-3091,51157,02-2939-1144,pa@nccu.edu.tw,https://pa.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,社會科學學院,04134041,公共行政學系,02-2939-3091,51157,02-2939-1144,pa@nccu.edu.tw,https://pa.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,社會科學學院,04134042,行政管理碩士學程,02-2939-3091,51336,02-2938-7910,mepa@nccu.edu.tw,https://mepa.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,社會科學學院,04134042,行政管理碩士學程,02-2939-3091,51336,02-2938-7910,mepa@nccu.edu.tw,https://mepa.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,社會科學學院,04134042,行政管理碩士學程,02-2939-3091,51336,02-2938-7910,mepa@nccu.edu.tw,https://mepa.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,商學院,04141067,國際經營與貿易學系,02-2939-8033,無,02-2938-7699,ib@nccu.edu.tw,https://ib.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,商學院,04141067,國際經營與貿易學系,02-2939-8033,無,02-2938-7699,ib@nccu.edu.tw,https://ib.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,商學院,04141067,國際經營與貿易學系,02-2939-8033,無,02-2938-7699,ib@nccu.edu.tw,https://ib.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,傳播學院,04143055,廣告學系,02-2939-3091,67176,02-2939-3830,chienyu@nccu.edu.tw,https://ad.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,商學院,04199072,科技管理與智慧財產研究所,02-2939-3091,89094,02-2936-3765,tchen@nccu.edu.tw,https://tiipm.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,商學院,04199072,科技管理與智慧財產研究所,02-2939-3091,89094,02-2936-3765,tchen@nccu.edu.tw,https://tiipm.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,法學院,04211073,法律學系,02-2939-3091,51414,02-2938-7235,justice@nccu.edu.tw,https://www.law.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,法學院,04211073,法律學系,02-2939-3091,51414,02-2938-7235,justice@nccu.edu.tw,https://www.law.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,法學院,04211073,法律學系,02-2939-3091,51414,02-2938-7235,justice@nccu.edu.tw,https://www.law.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,法學院,04211074,法律科際整合研究所,02-2939-3091,51516,02-2938-7235,justice@nccu.edu.tw,https://www.law.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,法學院,04211075,法學院碩士在職專班,02-2939-3091,51516,02-2938-7235,justice@nccu.edu.tw,https://www.law.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,理學院,05199083,神經科學研究所,02-2939-3091,62990,02-2938-7567,in@nccu.edu.tw,https://in.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,理學院,05331077,應用物理研究所,02-2938-7767,無,02-2938-7769,physics@nccu.edu.tw,https://phys.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,理學院,05331089,電子物理學士學位學程,02-2938-7767,無,02-2938-7769,physics@nccu.edu.tw,https://ephys.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,理學院,05411078,應用數學系,02-2938-7047,無,02-2938-7905,math@nccu.edu.tw,https://ms.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,理學院,05411078,應用數學系,02-2938-7047,無,02-2938-7905,math@nccu.edu.tw,https://ms.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,理學院,05411078,應用數學系,02-2938-7047,無,02-2938-7905,math@nccu.edu.tw,https://ms.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,商學院,05421079,統計學系,02-2938-7115,無,02-2939-8024,statdept@nccu.edu.tw,https://stat.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,商學院,05421079,統計學系,02-2938-7115,無,02-2939-8024,statdept@nccu.edu.tw,https://stat.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,商學院,05421079,統計學系,02-2938-7115,無,02-2939-8024,statdept@nccu.edu.tw,https://stat.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,商學院,06131080,資訊管理學系,02-2939-3091,89055,02-2939-3754,mis@nccu.edu.tw,https://mis2.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,商學院,06131080,資訊管理學系,02-2939-3091,89055,02-2939-3754,mis@nccu.edu.tw,https://mis2.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,商學院,06131080,資訊管理學系,02-2939-3091,89055,02-2939-3754,mis@nccu.edu.tw,https://mis2.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,資訊學院,06131081,資訊科學系,02-2939-3091,62273,02-2234-1494,csta@cs.nccu.edu.tw,https://www.cs.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,資訊學院,06131081,資訊科學系,02-2939-3091,62273,02-2234-1494,csta@cs.nccu.edu.tw,https://www.cs.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,資訊學院,06131081,資訊科學系,02-2939-3091,62273,02-2234-1494,csta@cs.nccu.edu.tw,https://www.cs.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,資訊學院,06131081,資訊科學系,02-2939-3091,62273,02-2234-1494,csta@cs.nccu.edu.tw,https://www.cs.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,資訊學院,06131082,社群網路與人智計算國際研究生博士學位學程,02-2789-8050,無,無,tigp@gate.sinica.edu.tw,https://tigp.sinica.edu.tw/
0001,公立,一般大學,國立政治大學,資訊學院,06131094,人工智慧應用學士學位學程,02-2939-3091,62683,02-2938-7505,bpai@nccu.edu.tw,https://bpai.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,資訊學院,06131095,資訊安全碩士學位學程,02-2939-3091,62683,02-2938-7505,infosec@nccu.edu.tw,https://mpis.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,傳播學院,06134057,數位內容碩士學位學程,02-2939-3091,62670,02-2937-8629,dct@nccu.edu.tw,https://www.dct.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,資訊學院,06134092,數位內容與科技學士學位學程,02-2938-7042,62270,02-2234-1494,hung9608@nccu.edu.tw,https://dct.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,社會科學學院,09231084,社會工作研究所,02-2939-3091,51446,02-2938-7240,sociwork@nccu.edu.tw,https://socialwork.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,社會科學學院,09231084,社會工作研究所,02-2939-3091,51446,02-2938-7240,sociwork@nccu.edu.tw,https://socialwork.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,不分院,10152096,運動產業與文化學士學位學程,02-2939-3091,62336,02-2938-7198,cabin@nccu.edu.tw,無
0002,公立,一般大學,國立清華大學,竹師教育學院,01111084,教育與學習科技學系,03-571-5131,73001,03-525-2206,delt@my.nthu.edu.tw,http://delt.site.nthu.edu.tw/
0002,公立,一般大學,國立清華大學,竹師教育學院,01111084,教育與學習科技學系,03-571-5131,73001,03-525-2206,delt@my.nthu.edu.tw,http://delt.site.nthu.edu.tw/
0002,公立,一般大學,國立清華大學,竹師教育學院,01111084,教育與學習科技學系,03-571-5131,73001,03-525-2206,delt@my.nthu.edu.tw,http://delt.site.nthu.edu.tw/
0002,公立,一般大學,國立清華大學,竹師教育學院,01111084,教育與學習科技學系,03-571-5131,73001,03-525-2206,delt@my.nthu.edu.tw,http://delt.site.nthu.edu.tw/
0002,公立,一般大學,國立清華大學,竹師教育學院,01111084,教育與學習科技學系,03-571-5131,73001,03-525-2206,delt@my.nthu.edu.tw,http://delt.site.nthu.edu.tw/
0002,公立,一般大學,國立清華大學,竹師教育學院,01111112,竹師教育學院學士班,03-571-5131,73004,03-561-9475,ipedu@my.nthu.edu.tw,http://ipedu.site.nthu.edu.tw/
0002,公立,一般大學,國立清華大學,竹師教育學院,01113095,特殊教育學系,03-571-5131,73301,無,spe@my.nthu.edu.tw,https://www.dse.nthu.edu.tw/
